_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5245,0,0,0,4,0,13,23,34,58,133,0,0,0,0,0,3,0,0,0,8,9,9,11,22,26,36,38,42,35,223,70,122,210,329,405,478,401,261,187,2457
5250,3,0,0,3,3,5,20,12,11,53,0,0,0,0,0,0,0,0,0,0,8,9,18,22,19,26,29,6,0,137,100,184,308,504,543,454,349,101,29,2564
5251,0,3,9,15,16,49,104,111,99,412,0,0,3,9,9,3,3,8,0,27,37,42,120,117,111,102,109,103,53,800,399,910,1879,1959,1867,1653,1363,709,319,11051
5252,3,0,4,3,10,12,32,24,6,95,0,0,0,0,0,0,3,0,0,3,24,16,46,67,66,58,38,17,0,333,191,379,872,967,990,734,475,147,34,4784
5253,13,12,43,53,58,162,408,369,215,1330,4,9,17,22,15,11,12,8,0,106,66,139,287,234,232,172,225,149,80,1588,504,1296,2447,2045,2399,2210,2052,1207,483,14641
5254,4,3,0,0,8,7,47,30,5,110,0,0,0,0,0,0,0,0,0,5,13,12,10,32,39,34,11,18,3,165,67,119,242,280,405,364,245,101,24,1852
5255,0,3,3,6,7,35,110,97,68,335,0,0,3,6,0,0,0,3,0,18,33,19,57,72,83,89,102,84,64,598,241,421,842,1054,1297,1306,1215,587,224,7188
5256,0,0,3,0,3,12,17,17,7,57,0,0,0,0,3,0,0,0,0,5,8,3,14,14,10,22,34,17,7,122,27,59,115,119,184,259,269,90,20,1147
5259,0,0,3,5,4,4,25,14,0,51,0,0,0,0,0,0,0,0,0,0,6,0,9,12,18,26,35,10,3,123,26,45,114,107,180,167,173,53,8,885
5260,0,0,5,3,7,18,64,42,13,155,0,0,0,0,3,0,0,0,0,8,3,5,18,16,19,18,32,21,4,143,32,99,138,181,250,273,264,138,37,1411
5261,0,0,0,0,4,3,10,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,14,9,11,29,47,62,59,34,15,3,275
5262,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,3,4,3,0,23,4,11,52,41,69,75,36,14,0,312
5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,3,4,13,22,30,22,19,7,0,112
5264,0,0,0,0,5,15,40,35,20,124,0,0,0,0,0,0,0,0,0,3,3,7,8,11,12,17,28,15,7,109,19,54,121,104,155,218,199,108,45,1023
5265,0,0,0,0,6,0,6,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,5,3,3,3,38,7,9,54,52,64,63,42,23,3,330
5266,0,0,0,4,0,0,13,9,10,31,0,0,0,0,0,0,0,0,0,0,3,0,9,7,9,0,4,0,0,40,20,30,79,85,69,61,68,45,18,465
5267,0,0,5,3,0,11,31,25,9,95,0,0,0,0,0,0,0,0,0,3,8,13,20,16,15,33,33,7,12,151,52,79,199,275,237,293,204,83,53,1473
5268,3,5,8,18,18,23,50,50,27,211,0,8,6,11,15,5,3,0,0,55,12,22,42,29,70,28,39,33,62,339,100,199,444,400,538,402,337,227,142,2789
5269,0,0,0,0,0,3,9,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,3,0,27,8,13,16,30,45,45,28,12,0,198
5270,0,0,0,0,0,0,7,9,4,18,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,3,5,0,0,29,16,25,59,66,119,87,70,17,7,464
5271,3,9,22,18,20,35,110,88,56,358,0,10,32,53,37,19,8,3,0,157,18,21,67,58,65,79,57,53,60,481,155,390,882,984,986,927,765,435,206,5738
