_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5131,..,44,44,125,0,127,56,0,56,62,0,62,24,0,24,17,0,17,290,45,326
5132,..,17,17,60,0,60,13,0,13,31,0,31,8,0,8,8,0,8,122,15,142
5133,..,13,13,43,4,49,13,0,13,29,0,29,15,0,15,6,0,6,106,17,120
5134,..,22,22,54,0,55,22,0,22,31,0,31,12,0,12,3,0,3,123,25,145
5136,..,26,26,59,5,62,29,0,29,33,0,39,15,0,15,5,0,5,141,27,168
5137,..,23,23,75,0,74,39,0,39,32,0,34,14,0,14,8,0,8,168,27,194
5138,..,17,17,40,0,44,18,0,18,18,0,18,8,0,8,6,0,6,85,21,106
5139,..,27,27,29,0,29,3,0,3,14,0,14,9,0,9,0,0,0,56,27,86
5140,..,24,24,43,0,43,30,0,30,47,0,47,3,0,3,4,0,4,128,24,150
5141,..,40,40,84,0,81,29,0,30,44,0,44,29,0,29,5,0,5,188,44,234
5142,..,52,52,70,0,70,31,0,38,31,0,31,13,0,13,8,0,8,154,57,203
5144,..,28,28,55,4,53,25,0,25,27,0,27,9,0,9,3,0,3,117,31,152
5150,..,4,4,3,0,3,8,0,8,5,0,5,0,0,0,0,0,0,12,4,21
5151,..,21,21,44,4,47,19,0,23,22,0,22,13,0,13,3,0,3,101,26,128
